Freq.	V(vout2)/I(vs)
2.57039578276885e-001	(6.03928932661082e+001dB,1.69878081402460e+002°)
2.63026799189537e-001	(6.03969981710843e+001dB,1.69645165357181e+002°)
2.69153480392690e-001	(6.04012919794938e+001dB,1.69407024409421e+002°)
2.75422870333815e-001	(6.04057831642371e+001dB,1.69163550747899e+002°)
2.81838293126444e-001	(6.04104805588196e+001dB,1.68914634991758e+002°)
2.88403150312659e-001	(6.04153933686894e+001dB,1.68660166214367e+002°)
2.95120922666637e-001	(6.04205311862601e+001dB,1.68400031973197e+002°)
3.01995172040200e-001	(6.04259040042635e+001dB,1.68134118342722e+002°)
3.09029543251358e-001	(6.04315222288939e+001dB,1.67862309952905e+002°)
3.16227766016837e-001	(6.04373966965465e+001dB,1.67584490032351e+002°)
3.23593656929627e-001	(6.04435386865570e+001dB,1.67300540457716e+002°)
3.31131121482590e-001	(6.04499599366594e+001dB,1.67010341807506e+002°)
3.38844156139201e-001	(6.04566726585062e+001dB,1.66713773423828e+002°)
3.46736850452530e-001	(6.04636895514702e+001dB,1.66410713479189e+002°)
3.54813389233574e-001	(6.04710238223657e+001dB,1.66101039050212e+002°)
3.63078054770100e-001	(6.04786891931015e+001dB,1.65784626199846e+002°)
3.71535229097171e-001	(6.04866999248282e+001dB,1.65461350065339e+002°)
3.80189396320559e-001	(6.04950708265863e+001dB,1.65131084955682e+002°)
3.89045144994279e-001	(6.05038172748300e+001dB,1.64793704456468e+002°)
3.98107170553495e-001	(6.05129552273825e+001dB,1.64449081543144e+002°)
4.07380277804111e-001	(6.05225012379073e+001dB,1.64097088705321e+002°)
4.16869383470333e-001	(6.05324724713363e+001dB,1.63737598077674e+002°)
4.26579518801591e-001	(6.05428867189359e+001dB,1.63370481582920e+002°)
4.36515832240164e-001	(6.05537624107886e+001dB,1.62995611083469e+002°)
4.46683592150961e-001	(6.05651186305612e+001dB,1.62612858545430e+002°)
4.57088189614873e-001	(6.05769751277484e+001dB,1.62222096210850e+002°)
4.67735141287196e-001	(6.05893523301187e+001dB,1.61823196783527e+002°)
4.78630092322636e-001	(6.06022713532060e+001dB,1.61416033625248e+002°)
4.89778819368444e-001	(6.06157540146336e+001dB,1.61000480962287e+002°)
5.01187233627270e-001	(6.06298228377579e+001dB,1.60576414107033e+002°)
5.12861383991362e-001	(6.06445010629694e+001dB,1.60143709688681e+002°)
5.24807460249770e-001	(6.06598126527750e+001dB,1.59702245897097e+002°)
5.37031796370250e-001	(6.06757822968339e+001dB,1.59251902739027e+002°)
5.49540873857622e-001	(6.06924354147700e+001dB,1.58792562305720e+002°)
5.62341325190346e-001	(6.07097981571263e+001dB,1.58324109054381e+002°)
5.75439937337154e-001	(6.07278974037761e+001dB,1.57846430098743e+002°)
5.88843655355586e-001	(6.07467607602485e+001dB,1.57359415513598e+002°)
6.02559586074355e-001	(6.07664165527049e+001dB,1.56862958649633e+002°)
6.16595001861479e-001	(6.07868938174453e+001dB,1.56356956459289e+002°)
6.30957344480190e-001	(6.08082222911575e+001dB,1.55841309832030e+002°)
6.45654229034652e-001	(6.08304323935070e+001dB,1.55315923940784e+002°)
6.60693448007592e-001	(6.08535552109039e+001dB,1.54780708594730e+002°)
6.76082975391978e-001	(6.08776224734354e+001dB,1.54235578602262e+002°)
6.91830970918933e-001	(6.09026665284295e+001dB,1.53680454138827e+002°)
7.07945784384134e-001	(6.09287203128725e+001dB,1.53115261120607e+002°)
7.24435960074986e-001	(6.09558173171548e+001dB,1.52539931581206e+002°)
7.41310241300913e-001	(6.09839915477714e+001dB,1.51954404052562e+002°)
7.58577575029179e-001	(6.10132774838484e+001dB,1.51358623944658e+002°)
7.76247116628687e-001	(6.10437100295834e+001dB,1.50752543923851e+002°)
7.94328234724277e-001	(6.10753244621974e+001dB,1.50136124288839e+002°)
8.12830516164095e-001	(6.11081563730484e+001dB,1.49509333339219e+002°)
8.31763771102666e-001	(6.11422416049703e+001dB,1.48872147739045e+002°)
8.51138038202372e-001	(6.11776161857991e+001dB,1.48224552864301e+002°)
8.70963589956076e-001	(6.12143162533972e+001dB,1.47566543142757e+002°)
8.91250938133740e-001	(6.12523779768797e+001dB,1.46898122375332e+002°)
9.12010839355904e-001	(6.12918374746457e+001dB,1.46219304036401e+002°)
9.33254300796986e-001	(6.13327307245654e+001dB,1.45530111555541e+002°)
9.54992586021430e-001	(6.13750934687073e+001dB,1.44830578572856e+002°)
9.77237220955805e-001	(6.14189611167764e+001dB,1.44120749165285e+002°)
9.99999999999994e-001	(6.14643686419601e+001dB,1.43400678042102e+002°)
1.02329299228075e+000	(6.15113504716506e+001dB,1.42670430709999e+002°)
1.04712854805089e+000	(6.15599403763336e+001dB,1.41930083594300e+002°)
1.07151930523760e+000	(6.16101713547035e+001dB,1.41179724126281e+002°)
1.09647819614318e+000	(6.16620755141049e+001dB,1.40419450784102e+002°)
1.12201845430196e+000	(6.17156839476824e+001dB,1.39649373092468e+002°)
1.14815362149688e+000	(6.17710266120221e+001dB,1.38869611570761e+002°)
1.17489755493952e+000	(6.18281321996808e+001dB,1.38080297636293e+002°)
1.20226443461741e+000	(6.18870280137392e+001dB,1.37281573453266e+002°)
1.23026877081237e+000	(6.19477398393791e+001dB,1.36473591732058e+002°)
1.25892541179416e+000	(6.20102918175714e+001dB,1.35656515473751e+002°)
1.28824955169313e+000	(6.20747063180231e+001dB,1.34830517665219e+002°)
1.31825673855640e+000	(6.21410038165462e+001dB,1.33995780915291e+002°)
1.34896288259165e+000	(6.22092027710748e+001dB,1.33152497044773e+002°)
1.38038426460288e+000	(6.22793195047288e+001dB,1.32300866619781e+002°)
1.41253754462275e+000	(6.23513680920099e+001dB,1.31441098437835e+002°)
1.44543977074592e+000	(6.24253602469174e+001dB,1.30573408969341e+002°)
1.47910838816820e+000	(6.25013052222890e+001dB,1.29698021745400e+002°)
1.51356124843620e+000	(6.25792097095178e+001dB,1.28815166715407e+002°)
1.54881661891247e+000	(6.26590777503251e+001dB,1.27925079559554e+002°)
1.58489319246110e+000	(6.27409106515731e+001dB,1.27028000969848e+002°)
1.62181009735892e+000	(6.28247069136651e+001dB,1.26124175902549e+002°)
1.65958690743755e+000	(6.29104621639316e+001dB,1.25213852807027e+002°)
1.69824365246173e+000	(6.29981690992986e+001dB,1.24297282838658e+002°)
1.73780082874936e+000	(6.30878174408920e+001dB,1.23374719055875e+002°)
1.77827941003891e+000	(6.31793938967970e+001dB,1.22446415613308e+002°)
1.81970085860997e+000	(6.32728821374427e+001dB,1.21512626955006e+002°)
1.86208713666286e+000	(6.33682627762452e+001dB,1.20573607014386e+002°)
1.90546071796323e+000	(6.34655133673656e+001dB,1.19629608425672e+002°)
1.94984459975803e+000	(6.35646084087881e+001dB,1.18680881755582e+002°)
1.99526231496887e+000	(6.36655193577976e+001dB,1.17727674759412e+002°)
2.04173794466952e+000	(6.37682146559556e+001dB,1.16770231669302e+002°)
2.08929613085403e+000	(6.38726597647498e+001dB,1.15808792518828e+002°)
2.13796208950222e+000	(6.39788172082166e+001dB,1.14843592511030e+002°)
2.18776162394954e+000	(6.40866466284824e+001dB,1.13874861431355e+002°)
2.23872113856832e+000	(6.41961048463988e+001dB,1.12902823115339e+002°)
2.29086765276776e+000	(6.43071459321351e+001dB,1.11927694971619e+002°)
2.34422881531990e+000	(6.44197212819798e+001dB,1.10949687563041e+002°)
2.39883291901947e+000	(6.45337797033973e+001dB,1.09969004253920e+002°)
2.45470891568501e+000	(6.46492675061666e+001dB,1.08985840915653e+002°)
2.51188643150956e+000	(6.47661285981186e+001dB,1.08000385708248e+002°)
2.57039578276884e+000	(6.48843045871706e+001dB,1.07012818922704e+002°)
2.63026799189536e+000	(6.50037348862328e+001dB,1.06023312897673e+002°)
2.69153480392690e+000	(6.51243568251910e+001dB,1.05032031999043e+002°)
2.75422870333815e+000	(6.52461057634248e+001dB,1.04039132672456e+002°)
2.81838293126443e+000	(6.53689152045276e+001dB,1.03044763563798e+002°)
2.88403150312658e+000	(6.54927169168120e+001dB,1.02049065701184e+002°)
2.95120922666636e+000	(6.56174410529470e+001dB,1.01052172743207e+002°)
3.01995172040199e+000	(6.57430162707050e+001dB,1.00054211288874e+002°)
3.09029543251357e+000	(6.58693698571226e+001dB,9.90553012450140e+001°)
3.16227766016835e+000	(6.59964278520318e+001dB,9.80555562446144e+001°)
3.23593656929626e+000	(6.61241151712354e+001dB,9.70550841227612e+001°)
3.31131121482589e+000	(6.62523557315031e+001dB,9.60539874345465e+001°)
3.38844156139200e+000	(6.63810725756567e+001dB,9.50523640140710e+001°)
3.46736850452529e+000	(6.65101879964366e+001dB,9.40503075758255e+001°)
3.54813389233573e+000	(6.66396236604294e+001dB,9.30479083459210e+001°)
3.63078054770098e+000	(6.67693007344603e+001dB,9.20452537164157e+001°)
3.71535229097170e+000	(6.68991400075709e+001dB,9.10424289319596e+001°)
3.80189396320558e+000	(6.70290620163441e+001dB,9.00395177839616e+001°)
3.89045144994278e+000	(6.71589871679818e+001dB,8.90366033222504e+001°)
3.98107170553494e+000	(6.72888358657215e+001dB,8.80337685662489e+001°)
4.07380277804109e+000	(6.74185286313465e+001dB,8.70310972227077e+001°)
4.16869383470332e+000	(6.75479862294703e+001dB,8.60286743958831e+001°)
4.26579518801589e+000	(6.76771297920537e+001dB,8.50265872845832e+001°)
4.36515832240162e+000	(6.78058809422095e+001dB,8.40249258656556e+001°)
4.46683592150959e+000	(6.79341619184109e+001dB,8.30237835551211e+001°)
4.57088189614871e+000	(6.80618956999413e+001dB,8.20232578384462e+001°)
4.67735141287194e+000	(6.81890061296266e+001dB,8.10234508780578e+001°)
4.78630092322634e+000	(6.83154180409032e+001dB,8.00244700692219e+001°)
4.89778819368442e+000	(6.84410573791309e+001dB,7.90264285728789e+001°)
5.01187233627268e+000	(6.85658513290074e+001dB,7.80294457810725e+001°)
5.12861383991361e+000	(6.86897284353664e+001dB,7.70336477517226e+001°)
5.24807460249768e+000	(6.88126187288545e+001dB,7.60391675711643e+001°)
5.37031796370248e+000	(6.89344538448463e+001dB,7.50461456782764e+001°)
5.49540873857620e+000	(6.90551671465709e+001dB,7.40547301071401e+001°)
5.62341325190344e+000	(6.91746938422969e+001dB,7.30650766816642e+001°)
5.75439937337152e+000	(6.92929711017025e+001dB,7.20773491399222e+001°)
5.88843655355584e+000	(6.94099381696159e+001dB,7.10917191900874e+001°)
6.02559586074353e+000	(6.95255364771718e+001dB,7.01083664938753e+001°)
6.16595001861477e+000	(6.96397097461585e+001dB,6.91274785967656e+001°)
6.30957344480188e+000	(6.97524040929092e+001dB,6.81492507682719e+001°)
6.45654229034650e+000	(6.98635681248432e+001dB,6.71738857868300e+001°)
6.60693448007590e+000	(6.99731530305875e+001dB,6.62015936599803e+001°)
6.76082975391976e+000	(7.00811126662948e+001dB,6.52325912680827e+001°)
6.91830970918931e+000	(7.01874036329487e+001dB,6.42671019548850e+001°)
7.07945784384132e+000	(7.02919853471114e+001dB,6.33053550545667e+001°)
7.24435960074984e+000	(7.03948201040422e+001dB,6.23475853601523e+001°)
7.41310241300911e+000	(7.04958731309765e+001dB,6.13940325460496e+001°)
7.58577575029177e+000	(7.05951126327438e+001dB,6.04449405361957e+001°)
7.76247116628685e+000	(7.06925098278761e+001dB,5.95005568298031e+001°)
7.94328234724275e+000	(7.07880389731755e+001dB,5.85611317987686e+001°)
8.12830516164092e+000	(7.08816773810993e+001dB,5.76269179387558e+001°)
8.31763771102664e+000	(7.09734054242783e+001dB,5.66981691084402e+001°)
8.51138038202369e+000	(7.10632065315294e+001dB,5.57751397380244e+001°)
8.70963589956073e+000	(7.11510671720169e+001dB,5.48580840337838e+001°)
8.91250938133738e+000	(7.12369768301675e+001dB,5.39472551685999e+001°)
9.12010839355902e+000	(7.13209279700696e+001dB,5.30429044733305e+001°)
9.33254300796983e+000	(7.14029159888276e+001dB,5.21452806403790e+001°)
9.54992586021427e+000	(7.14829391621842e+001dB,5.12546289269008e+001°)
9.77237220955802e+000	(7.15609985787100e+001dB,5.03711903879486e+001°)
9.99999999999991e+000	(7.16370980665899e+001dB,4.94952011238909e+001°)
1.02329299228075e+001	(7.17112441117264e+001dB,4.86268915585012e+001°)
1.04712854805089e+001	(7.17834457673811e+001dB,4.77664857535572e+001°)
1.07151930523760e+001	(7.18537145575843e+001dB,4.69142007563265e+001°)
1.09647819614318e+001	(7.19220643737954e+001dB,4.60702459896491e+001°)
1.12201845430195e+001	(7.19885113658697e+001dB,4.52348226860236e+001°)
1.14815362149687e+001	(7.20530738278786e+001dB,4.44081233716729e+001°)
1.17489755493952e+001	(7.21157720801991e+001dB,4.35903313963368e+001°)
1.20226443461740e+001	(7.21766283478887e+001dB,4.27816205162005e+001°)
1.23026877081237e+001	(7.22356666360986e+001dB,4.19821545337421e+001°)
1.25892541179416e+001	(7.22929126052830e+001dB,4.11920869755902e+001°)
1.28824955169312e+001	(7.23483934428449e+001dB,4.04115608459858e+001°)
1.31825673855639e+001	(7.24021377367166e+001dB,3.96407084126338e+001°)
1.34896288259164e+001	(7.24541753479081e+001dB,3.88796510575958e+001°)
1.38038426460287e+001	(7.25045372847693e+001dB,3.81284991728618e+001°)
1.41253754462274e+001	(7.25532555787693e+001dB,3.73873521061650e+001°)
1.44543977074591e+001	(7.26003631621857e+001dB,3.66562981578212e+001°)
1.47910838816819e+001	(7.26458937493231e+001dB,3.59354146158227e+001°)
1.51356124843619e+001	(7.26898817202180e+001dB,3.52247678400516e+001°)
1.54881661891247e+001	(7.27323620082894e+001dB,3.45244133850061e+001°)
1.58489319246110e+001	(7.27733699923485e+001dB,3.38343961567662e+001°)
1.62181009735891e+001	(7.28129413925123e+001dB,3.31547506084388e+001°)
1.65958690743754e+001	(7.28511121713666e+001dB,3.24855009614586e+001°)
1.69824365246173e+001	(7.28879184391062e+001dB,3.18266614638279e+001°)
1.73780082874936e+001	(7.29233963645214e+001dB,3.11782366655629e+001°)
1.77827941003891e+001	(7.29575820909190e+001dB,3.05402217182786e+001°)
1.81970085860997e+001	(7.29905116569181e+001dB,2.99126026975400e+001°)
1.86208713666285e+001	(7.30222209229476e+001dB,2.92953569373516e+001°)
1.90546071796323e+001	(7.30527455027074e+001dB,2.86884533808414e+001°)
1.94984459975803e+001	(7.30821206999712e+001dB,2.80918529404601e+001°)
1.99526231496886e+001	(7.31103814504126e+001dB,2.75055088679289e+001°)
2.04173794466951e+001	(7.31375622687497e+001dB,2.69293671266635e+001°)
2.08929613085402e+001	(7.31636972003680e+001dB,2.63633667731225e+001°)
2.13796208950221e+001	(7.31888197781466e+001dB,2.58074403343423e+001°)
2.18776162394953e+001	(7.32129629832523e+001dB,2.52615141930622e+001°)
2.23872113856832e+001	(7.32361592113841e+001dB,2.47255089580860e+001°)
2.29086765276775e+001	(7.32584402423393e+001dB,2.41993398419205e+001°)
2.34422881531990e+001	(7.32798372138174e+001dB,2.36829170307089e+001°)
2.39883291901947e+001	(7.33003805993499e+001dB,2.31761460445404e+001°)
2.45470891568501e+001	(7.33201001895758e+001dB,2.26789280927292e+001°)
2.51188643150956e+001	(7.33390250770256e+001dB,2.21911604196235e+001°)
2.57039578276884e+001	(7.33571836438667e+001dB,2.17127366438467e+001°)
2.63026799189536e+001	(7.33746035531770e+001dB,2.12435470800711e+001°)
2.69153480392689e+001	(7.33913117423215e+001dB,2.07834790587765e+001°)
2.75422870333814e+001	(7.34073344193255e+001dB,2.03324172290204e+001°)
2.81838293126442e+001	(7.34226970613760e+001dB,1.98902438526117e+001°)
2.88403150312658e+001	(7.34374244157438e+001dB,1.94568390831884e+001°)
2.95120922666636e+001	(7.34515405022471e+001dB,1.90320812388697e+001°)
3.01995172040199e+001	(7.34650686180853e+001dB,1.86158470551444e+001°)
3.09029543251356e+001	(7.34780313437964e+001dB,1.82080119323843e+001°)
3.16227766016835e+001	(7.34904505509151e+001dB,1.78084501678914e+001°)
3.23593656929625e+001	(7.35023474109401e+001dB,1.74170351759267e+001°)
3.31131121482588e+001	(7.35137424054212e+001dB,1.70336396963414e+001°)
3.38844156139199e+001	(7.35246553369068e+001dB,1.66581359938520e+001°)
3.46736850452528e+001	(7.35351053411024e+001dB,1.62903960412409e+001°)
3.54813389233572e+001	(7.35451108995632e+001dB,1.59302916947729e+001°)
3.63078054770098e+001	(7.35546898531631e+001dB,1.55776948570234e+001°)
3.71535229097169e+001	(7.35638594158054e+001dB,1.52324776335797e+001°)
3.80189396320557e+001	(7.35726361892020e+001dB,1.48945124707136e+001°)
3.89045144994276e+001	(7.35810361773666e+001dB,1.45636722925377e+001°)
3.98107170553493e+001	(7.35890748018326e+001dB,1.42398306223368e+001°)
4.07380277804108e+001	(7.35967669168149e+001dB,1.39228616984900e+001°)
4.16869383470331e+001	(7.36041268247145e+001dB,1.36126405788234e+001°)
4.26579518801588e+001	(7.36111682914185e+001dB,1.33090432405404e+001°)
4.36515832240161e+001	(7.36179045620105e+001dB,1.30119466665939e+001°)
4.46683592150958e+001	(7.36243483761638e+001dB,1.27212289285111e+001°)
