Freq.	V(vout)
1.00000000000000e-002	(3.22159222955842e+001dB,1.79999836055650e+002°)
1.02329299228075e-002	(3.22159222955826e+001dB,1.79999832236895e+002°)
1.04712854805090e-002	(3.22159222955808e+001dB,1.79999828329191e+002°)
1.07151930523761e-002	(3.22159222955790e+001dB,1.79999824330464e+002°)
1.09647819614318e-002	(3.22159222955771e+001dB,1.79999820238595e+002°)
1.12201845430196e-002	(3.22159222955750e+001dB,1.79999816051414e+002°)
1.14815362149688e-002	(3.22159222955729e+001dB,1.79999811766701e+002°)
1.17489755493953e-002	(3.22159222955707e+001dB,1.79999807382184e+002°)
1.20226443461741e-002	(3.22159222955684e+001dB,1.79999802895538e+002°)
1.23026877081238e-002	(3.22159222955660e+001dB,1.79999798304386e+002°)
1.25892541179417e-002	(3.22159222955634e+001dB,1.79999793606291e+002°)
1.28824955169313e-002	(3.22159222955608e+001dB,1.79999788798764e+002°)
1.31825673855641e-002	(3.22159222955580e+001dB,1.79999783879256e+002°)
1.34896288259165e-002	(3.22159222955551e+001dB,1.79999778845157e+002°)
1.38038426460288e-002	(3.22159222955520e+001dB,1.79999773693799e+002°)
1.41253754462275e-002	(3.22159222955489e+001dB,1.79999768422450e+002°)
1.44543977074593e-002	(3.22159222955455e+001dB,1.79999763028316e+002°)
1.47910838816821e-002	(3.22159222955420e+001dB,1.79999757508536e+002°)
1.51356124843621e-002	(3.22159222955383e+001dB,1.79999751860185e+002°)
1.54881661891248e-002	(3.22159222955345e+001dB,1.79999746080266e+002°)
1.58489319246111e-002	(3.22159222955305e+001dB,1.79999740165715e+002°)
1.62181009735893e-002	(3.22159222955263e+001dB,1.79999734113397e+002°)
1.65958690743756e-002	(3.22159222955219e+001dB,1.79999727920103e+002°)
1.69824365246174e-002	(3.22159222955173e+001dB,1.79999721582548e+002°)
1.73780082874937e-002	(3.22159222955124e+001dB,1.79999715097372e+002°)
1.77827941003892e-002	(3.22159222955074e+001dB,1.79999708461138e+002°)
1.81970085860998e-002	(3.22159222955021e+001dB,1.79999701670325e+002°)
1.86208713666287e-002	(3.22159222954965e+001dB,1.79999694721334e+002°)
1.90546071796325e-002	(3.22159222954907e+001dB,1.79999687610481e+002°)
1.94984459975804e-002	(3.22159222954846e+001dB,1.79999680333994e+002°)
1.99526231496888e-002	(3.22159222954783e+001dB,1.79999672888016e+002°)
2.04173794466953e-002	(3.22159222954716e+001dB,1.79999665268599e+002°)
2.08929613085404e-002	(3.22159222954646e+001dB,1.79999657471703e+002°)
2.13796208950223e-002	(3.22159222954573e+001dB,1.79999649493194e+002°)
2.18776162394955e-002	(3.22159222954496e+001dB,1.79999641328842e+002°)
2.23872113856834e-002	(3.22159222954416e+001dB,1.79999632974318e+002°)
2.29086765276777e-002	(3.22159222954332e+001dB,1.79999624425191e+002°)
2.34422881531992e-002	(3.22159222954244e+001dB,1.79999615676930e+002°)
2.39883291901949e-002	(3.22159222954152e+001dB,1.79999606724896e+002°)
2.45470891568503e-002	(3.22159222954056e+001dB,1.79999597564342e+002°)
2.51188643150958e-002	(3.22159222953955e+001dB,1.79999588190411e+002°)
2.57039578276886e-002	(3.22159222953849e+001dB,1.79999578598134e+002°)
2.63026799189538e-002	(3.22159222953738e+001dB,1.79999568782423e+002°)
2.69153480392691e-002	(3.22159222953622e+001dB,1.79999558738075e+002°)
2.75422870333816e-002	(3.22159222953501e+001dB,1.79999548459765e+002°)
2.81838293126445e-002	(3.22159222953374e+001dB,1.79999537942042e+002°)
2.88403150312660e-002	(3.22159222953241e+001dB,1.79999527179329e+002°)
2.95120922666638e-002	(3.22159222953101e+001dB,1.79999516165921e+002°)
3.01995172040201e-002	(3.22159222952955e+001dB,1.79999504895977e+002°)
