frequency	V(onoise)	V(r1)
3.311311214825907e-001	9.898047e-007	8.037983e-007
3.388441561392021e-001	9.867966e-007	8.037983e-007
3.467368504525312e-001	9.838483e-007	8.037983e-007
3.548133892335750e-001	9.809584e-007	8.037983e-007
3.630780547701009e-001	9.781261e-007	8.037983e-007
3.715352290971720e-001	9.753502e-007	8.037983e-007
3.801893963205607e-001	9.726300e-007	8.037983e-007
3.890451449942800e-001	9.699643e-007	8.037983e-007
3.981071705534967e-001	9.673521e-007	8.037983e-007
4.073802778041121e-001	9.647925e-007	8.037983e-007
4.168693834703348e-001	9.622847e-007	8.037983e-007
4.265795188015920e-001	9.598277e-007	8.037983e-007
4.365158322401653e-001	9.574204e-007	8.037983e-007
4.466835921509624e-001	9.550621e-007	8.037983e-007
4.570881896148742e-001	9.527519e-007	8.037983e-007
4.677351412871974e-001	9.504888e-007	8.037983e-007
4.786300923226375e-001	9.482720e-007	8.037983e-007
4.897788193684454e-001	9.461006e-007	8.037983e-007
5.011872336272715e-001	9.439739e-007	8.037983e-007
5.128613839913641e-001	9.418908e-007	8.037983e-007
5.248074602497718e-001	9.398508e-007	8.037983e-007
5.370317963702519e-001	9.378530e-007	8.037983e-007
5.495408738576236e-001	9.358964e-007	8.037983e-007
5.623413251903481e-001	9.339805e-007	8.037983e-007
5.754399373371559e-001	9.321043e-007	8.037983e-007
5.888436553555879e-001	9.302672e-007	8.037983e-007
6.025595860743567e-001	9.284685e-007	8.037983e-007
6.165950018614811e-001	9.267072e-007	8.037983e-007
6.309573444801921e-001	9.249829e-007	8.037983e-007
6.456542290346544e-001	9.232946e-007	8.037983e-007
6.606934480075949e-001	9.216419e-007	8.037983e-007
6.760829753919806e-001	9.200239e-007	8.037983e-007
6.918309709189353e-001	9.184399e-007	8.037983e-007
7.079457843841367e-001	9.168893e-007	8.037983e-007
7.244359600749888e-001	9.153716e-007	8.037983e-007
7.413102413009162e-001	9.138859e-007	8.037983e-007
7.585775750291823e-001	9.124317e-007	8.037983e-007
7.762471166286903e-001	9.110084e-007	8.037983e-007
7.943282347242799e-001	9.096153e-007	8.037983e-007
8.128305161640976e-001	9.082518e-007	8.037983e-007
8.317637711026693e-001	9.069175e-007	8.037983e-007
8.511380382023747e-001	9.056116e-007	8.037983e-007
8.709635899560788e-001	9.043335e-007	8.037983e-007
8.912509381337437e-001	9.030829e-007	8.037983e-007
9.120108393559078e-001	9.018590e-007	8.037983e-007
9.332543007969890e-001	9.006614e-007	8.037983e-007
9.549925860214339e-001	8.994895e-007	8.037983e-007
9.772372209558086e-001	8.983428e-007	8.037983e-007
9.999999999999978e-001	8.972208e-007	8.037983e-007
1.023292992280752e+000	8.961230e-007	8.037983e-007
1.047128548050897e+000	8.950489e-007	8.037983e-007
1.071519305237604e+000	8.939979e-007	8.037983e-007
1.096478196143182e+000	8.929697e-007	8.037983e-007
1.122018454301961e+000	8.919637e-007	8.037983e-007
1.148153621496880e+000	8.909796e-007	8.037983e-007
