Freq.	V(vout)
1.00000000000000e-002	(7.99998983874392e+001dB,1.79999999951546e+002°)
1.02329299228075e-002	(7.99998983874392e+001dB,1.79999999950418e+002°)
1.04712854805090e-002	(7.99998983874392e+001dB,1.79999999949263e+002°)
1.07151930523761e-002	(7.99998983874392e+001dB,1.79999999948081e+002°)
1.09647819614318e-002	(7.99998983874392e+001dB,1.79999999946871e+002°)
1.12201845430196e-002	(7.99998983874392e+001dB,1.79999999945634e+002°)
1.14815362149688e-002	(7.99998983874392e+001dB,1.79999999944368e+002°)
1.17489755493953e-002	(7.99998983874392e+001dB,1.79999999943072e+002°)
1.20226443461741e-002	(7.99998983874392e+001dB,1.79999999941746e+002°)
1.23026877081238e-002	(7.99998983874392e+001dB,1.79999999940389e+002°)
1.25892541179417e-002	(7.99998983874392e+001dB,1.79999999939000e+002°)
1.28824955169313e-002	(7.99998983874392e+001dB,1.79999999937579e+002°)
1.31825673855641e-002	(7.99998983874392e+001dB,1.79999999936125e+002°)
1.34896288259165e-002	(7.99998983874392e+001dB,1.79999999934638e+002°)
1.38038426460288e-002	(7.99998983874392e+001dB,1.79999999933115e+002°)
1.41253754462275e-002	(7.99998983874392e+001dB,1.79999999931557e+002°)
1.44543977074593e-002	(7.99998983874392e+001dB,1.79999999929963e+002°)
1.47910838816821e-002	(7.99998983874392e+001dB,1.79999999928332e+002°)
1.51356124843621e-002	(7.99998983874392e+001dB,1.79999999926662e+002°)
1.54881661891248e-002	(7.99998983874392e+001dB,1.79999999924954e+002°)
1.58489319246111e-002	(7.99998983874392e+001dB,1.79999999923206e+002°)
1.62181009735893e-002	(7.99998983874392e+001dB,1.79999999921417e+002°)
1.65958690743756e-002	(7.99998983874392e+001dB,1.79999999919587e+002°)
1.69824365246174e-002	(7.99998983874392e+001dB,1.79999999917714e+002°)
1.73780082874937e-002	(7.99998983874392e+001dB,1.79999999915797e+002°)
1.77827941003892e-002	(7.99998983874392e+001dB,1.79999999913836e+002°)
1.81970085860998e-002	(7.99998983874392e+001dB,1.79999999911829e+002°)
1.86208713666287e-002	(7.99998983874392e+001dB,1.79999999909775e+002°)
1.90546071796325e-002	(7.99998983874392e+001dB,1.79999999907673e+002°)
1.94984459975804e-002	(7.99998983874392e+001dB,1.79999999905523e+002°)
1.99526231496888e-002	(7.99998983874392e+001dB,1.79999999903322e+002°)
2.04173794466953e-002	(7.99998983874392e+001dB,1.79999999901070e+002°)
2.08929613085404e-002	(7.99998983874392e+001dB,1.79999999898766e+002°)
2.13796208950223e-002	(7.99998983874392e+001dB,1.79999999896408e+002°)
2.18776162394955e-002	(7.99998983874392e+001dB,1.79999999893995e+002°)
2.23872113856834e-002	(7.99998983874392e+001dB,1.79999999891525e+002°)
2.29086765276777e-002	(7.99998983874392e+001dB,1.79999999888999e+002°)
2.34422881531992e-002	(7.99998983874392e+001dB,1.79999999886413e+002°)
2.39883291901949e-002	(7.99998983874392e+001dB,1.79999999883767e+002°)
2.45470891568503e-002	(7.99998983874392e+001dB,1.79999999881060e+002°)
2.51188643150958e-002	(7.99998983874392e+001dB,1.79999999878289e+002°)
2.57039578276886e-002	(7.99998983874392e+001dB,1.79999999875454e+002°)
2.63026799189538e-002	(7.99998983874392e+001dB,1.79999999872553e+002°)
2.69153480392691e-002	(7.99998983874392e+001dB,1.79999999869585e+002°)
2.75422870333816e-002	(7.99998983874392e+001dB,1.79999999866547e+002°)
2.81838293126445e-002	(7.99998983874392e+001dB,1.79999999863439e+002°)
2.88403150312660e-002	(7.99998983874392e+001dB,1.79999999860258e+002°)
2.95120922666638e-002	(7.99998983874392e+001dB,1.79999999857003e+002°)
3.01995172040201e-002	(7.99998983874392e+001dB,1.79999999853672e+002°)
3.09029543251359e-002	(7.99998983874392e+001dB,1.79999999850263e+002°)
3.16227766016838e-002	(7.99998983874392e+001dB,1.79999999846776e+002°)
3.23593656929628e-002	(7.99998983874392e+001dB,1.79999999843207e+002°)
3.31131121482591e-002	(7.99998983874392e+001dB,1.79999999839554e+002°)
3.38844156139202e-002	(7.99998983874392e+001dB,1.79999999835817e+002°)
3.46736850452531e-002	(7.99998983874392e+001dB,1.79999999831993e+002°)
3.54813389233575e-002	(7.99998983874392e+001dB,1.79999999828079e+002°)
3.63078054770101e-002	(7.99998983874392e+001dB,1.79999999824075e+002°)
3.71535229097172e-002	(7.99998983874392e+001dB,1.79999999819977e+002°)
3.80189396320561e-002	(7.99998983874392e+001dB,1.79999999815784e+002°)
3.89045144994280e-002	(7.99998983874392e+001dB,1.79999999811493e+002°)
3.98107170553497e-002	(7.99998983874392e+001dB,1.79999999807102e+002°)
4.07380277804112e-002	(7.99998983874392e+001dB,1.79999999802609e+002°)
4.16869383470335e-002	(7.99998983874392e+001dB,1.79999999798011e+002°)
4.26579518801592e-002	(7.99998983874392e+001dB,1.79999999793306e+002°)
4.36515832240165e-002	(7.99998983874392e+001dB,1.79999999788491e+002°)
4.46683592150962e-002	(7.99998983874392e+001dB,1.79999999783565e+002°)
4.57088189614874e-002	(7.99998983874392e+001dB,1.79999999778523e+002°)
4.67735141287197e-002	(7.99998983874392e+001dB,1.79999999773364e+002°)
4.78630092322637e-002	(7.99998983874392e+001dB,1.79999999768085e+002°)
4.89778819368445e-002	(7.99998983874392e+001dB,1.79999999762683e+002°)
5.01187233627271e-002	(7.99998983874392e+001dB,1.79999999757156e+002°)
5.12861383991364e-002	(7.99998983874392e+001dB,1.79999999751499e+002°)
5.24807460249771e-002	(7.99998983874392e+001dB,1.79999999745711e+002°)
5.37031796370252e-002	(7.99998983874392e+001dB,1.79999999739788e+002°)
5.49540873857623e-002	(7.99998983874392e+001dB,1.79999999733726e+002°)
5.62341325190348e-002	(7.99998983874392e+001dB,1.79999999727524e+002°)
5.75439937337156e-002	(7.99998983874392e+001dB,1.79999999721177e+002°)
5.88843655355588e-002	(7.99998983874392e+001dB,1.79999999714683e+002°)
6.02559586074356e-002	(7.99998983874392e+001dB,1.79999999708037e+002°)
6.16595001861481e-002	(7.99998983874392e+001dB,1.79999999701236e+002°)
6.30957344480192e-002	(7.99998983874392e+001dB,1.79999999694277e+002°)
6.45654229034654e-002	(7.99998983874392e+001dB,1.79999999687156e+002°)
6.60693448007594e-002	(7.99998983874392e+001dB,1.79999999679869e+002°)
6.76082975391980e-002	(7.99998983874392e+001dB,1.79999999672412e+002°)
6.91830970918935e-002	(7.99998983874392e+001dB,1.79999999664781e+002°)
7.07945784384136e-002	(7.99998983874392e+001dB,1.79999999656973e+002°)
