Freq.	V(vout)
1.00000000000000e-002	(7.48936080224489e+001dB,1.79999991983091e+002°)
1.02329299228075e-002	(7.48936080224485e+001dB,1.79999991796354e+002°)
1.04712854805090e-002	(7.48936080224481e+001dB,1.79999991605266e+002°)
1.07151930523761e-002	(7.48936080224477e+001dB,1.79999991409728e+002°)
1.09647819614318e-002	(7.48936080224473e+001dB,1.79999991209635e+002°)
1.12201845430196e-002	(7.48936080224469e+001dB,1.79999991004881e+002°)
1.14815362149688e-002	(7.48936080224464e+001dB,1.79999990795357e+002°)
1.17489755493953e-002	(7.48936080224425e+001dB,1.79999990580954e+002°)
1.20226443461741e-002	(7.48936080224420e+001dB,1.79999990361556e+002°)
1.23026877081238e-002	(7.48936080224414e+001dB,1.79999990137048e+002°)
1.25892541179417e-002	(7.48936080224409e+001dB,1.79999989907310e+002°)
1.28824955169313e-002	(7.48936080224403e+001dB,1.79999989672221e+002°)
1.31825673855641e-002	(7.48936080224397e+001dB,1.79999989431656e+002°)
1.34896288259165e-002	(7.48936080224391e+001dB,1.79999989185488e+002°)
1.38038426460288e-002	(7.48936080224384e+001dB,1.79999988933586e+002°)
1.41253754462275e-002	(7.48936080224377e+001dB,1.79999988675816e+002°)
1.44543977074593e-002	(7.48936080224370e+001dB,1.79999988412042e+002°)
1.47910838816821e-002	(7.48936080224362e+001dB,1.79999988142123e+002°)
1.51356124843621e-002	(7.48936080224354e+001dB,1.79999987865918e+002°)
1.54881661891248e-002	(7.48936080224346e+001dB,1.79999987583279e+002°)
1.58489319246111e-002	(7.48936080224337e+001dB,1.79999987294056e+002°)
1.62181009735893e-002	(7.48936080224328e+001dB,1.79999986998097e+002°)
1.65958690743756e-002	(7.48936080224319e+001dB,1.79999986695244e+002°)
1.69824365246174e-002	(7.48936080224309e+001dB,1.79999986385336e+002°)
1.73780082874937e-002	(7.48936080224298e+001dB,1.79999986068210e+002°)
1.77827941003892e-002	(7.48936080224287e+001dB,1.79999985743697e+002°)
