frequency	V(onoise)	V(r1)	V(rl)
6.165950018614807e+000	8.243765e-007	8.142611e-007	1.287460e-007
6.309573444801917e+000	8.243758e-007	8.142604e-007	1.287459e-007
6.456542290346540e+000	8.243751e-007	8.142597e-007	1.287458e-007
6.606934480075944e+000	8.243745e-007	8.142591e-007	1.287457e-007
6.760829753919802e+000	8.243737e-007	8.142583e-007	1.287455e-007
6.918309709189348e+000	8.243729e-007	8.142575e-007	1.287454e-007
7.079457843841362e+000	8.243721e-007	8.142567e-007	1.287453e-007
7.244359600749883e+000	8.243712e-007	8.142558e-007	1.287452e-007
7.413102413009157e+000	8.243703e-007	8.142550e-007	1.287450e-007
7.585775750291819e+000	8.243694e-007	8.142540e-007	1.287449e-007
7.762471166286898e+000	8.243684e-007	8.142530e-007	1.287447e-007
7.943282347242795e+000	8.243673e-007	8.142520e-007	1.287445e-007
8.128305161640972e+000	8.243662e-007	8.142509e-007	1.287444e-007
8.317637711026690e+000	8.243651e-007	8.142498e-007	1.287442e-007
8.511380382023743e+000	8.243639e-007	8.142486e-007	1.287440e-007
8.709635899560784e+000	8.243626e-007	8.142474e-007	1.287438e-007
8.912509381337431e+000	8.243613e-007	8.142461e-007	1.287436e-007
9.120108393559072e+000	8.243600e-007	8.142447e-007	1.287434e-007
9.332543007969884e+000	8.243586e-007	8.142433e-007	1.287432e-007
9.549925860214332e+000	8.243570e-007	8.142418e-007	1.287429e-007
9.772372209558078e+000	8.243555e-007	8.142403e-007	1.287427e-007
9.999999999999970e+000	8.243538e-007	8.142387e-007	1.287424e-007
1.023292992280751e+001	8.243521e-007	8.142370e-007	1.287422e-007
1.047128548050896e+001	8.243503e-007	8.142352e-007	1.287419e-007
1.071519305237603e+001	8.243484e-007	8.142333e-007	1.287416e-007
1.096478196143182e+001	8.243464e-007	8.142313e-007	1.287413e-007
1.122018454301960e+001	8.243443e-007	8.142293e-007	1.287410e-007
1.148153621496879e+001	8.243422e-007	8.142272e-007	1.287406e-007
1.174897554939526e+001	8.243399e-007	8.142249e-007	1.287403e-007
1.202264434617409e+001	8.243375e-007	8.142226e-007	1.287399e-007
1.230268770812378e+001	8.243350e-007	8.142201e-007	1.287395e-007
1.258925411794163e+001	8.243324e-007	8.142175e-007	1.287391e-007
1.288249551693130e+001	8.243297e-007	8.142148e-007	1.287387e-007
1.318256738556403e+001	8.243268e-007	8.142120e-007	1.287382e-007
1.348962882591649e+001	8.243238e-007	8.142090e-007	1.287378e-007
1.380384264602880e+001	8.243207e-007	8.142059e-007	1.287373e-007
1.412537544622749e+001	8.243174e-007	8.142027e-007	1.287367e-007
1.445439770745922e+001	8.243139e-007	8.141993e-007	1.287362e-007
1.479108388168202e+001	8.243103e-007	8.141957e-007	1.287356e-007
1.513561248436203e+001	8.243066e-007	8.141920e-007	1.287351e-007
1.548816618912476e+001	8.243026e-007	8.141881e-007	1.287344e-007
1.584893192461108e+001	8.242985e-007	8.141840e-007	1.287338e-007
1.621810097358924e+001	8.242941e-007	8.141797e-007	1.287331e-007
1.659586907437554e+001	8.242896e-007	8.141752e-007	1.287324e-007
1.698243652461738e+001	8.242849e-007	8.141706e-007	1.287317e-007
1.737800828749369e+001	8.242799e-007	8.141656e-007	1.287309e-007
1.778279410038916e+001	8.242747e-007	8.141605e-007	1.287301e-007
1.819700858609976e+001	8.242692e-007	8.141551e-007	1.287292e-007
1.862087136662860e+001	8.242635e-007	8.141495e-007	1.287283e-007
1.905460717963240e+001	8.242575e-007	8.141436e-007	1.287274e-007
1.949844599758038e+001	8.242513e-007	8.141374e-007	1.287264e-007
1.995262314968872e+001	8.242447e-007	8.141309e-007	1.287254e-007
2.041737944669522e+001	8.242379e-007	8.141241e-007	1.287243e-007
2.089296130854032e+001	8.242307e-007	8.141170e-007	1.287232e-007
2.137962089502224e+001	8.242232e-007	8.141096e-007	1.287220e-007
2.187761623949544e+001	8.242152e-007	8.141018e-007	1.287208e-007
2.238721138568331e+001	8.242070e-007	8.140937e-007	1.287195e-007
2.290867652767764e+001	8.241984e-007	8.140851e-007	1.287182e-007
2.344228815319913e+001	8.241893e-007	8.140761e-007	1.287167e-007
2.398832919019481e+001	8.241798e-007	8.140668e-007	1.287153e-007
2.454708915685020e+001	8.241699e-007	8.140570e-007	1.287137e-007
2.511886431509570e+001	8.241595e-007	8.140468e-007	1.287121e-007
2.570395782768853e+001	8.241486e-007	8.140360e-007	1.287104e-007
2.630267991895371e+001	8.241373e-007	8.140248e-007	1.287086e-007
2.691534803926904e+001	8.241253e-007	8.140130e-007	1.287067e-007
2.754228703338155e+001	8.241128e-007	8.140007e-007	1.287048e-007
2.818382931264442e+001	8.240997e-007	8.139877e-007	1.287028e-007
2.884031503126593e+001	8.240860e-007	8.139742e-007	1.287006e-007
2.951209226666373e+001	8.240717e-007	8.139600e-007	1.286984e-007
3.019951720402003e+001	8.240567e-007	8.139452e-007	1.286960e-007
3.090295432513577e+001	8.240410e-007	8.139297e-007	1.286936e-007
3.162277660168365e+001	8.240245e-007	8.139134e-007	1.286910e-007
3.235936569296268e+001	8.240073e-007	8.138964e-007	1.286883e-007
3.311311214825896e+001	8.239892e-007	8.138786e-007	1.286855e-007
3.388441561392011e+001	8.239704e-007	8.138599e-007	1.286826e-007
3.467368504525301e+001	8.239506e-007	8.138404e-007	1.286795e-007
3.548133892335738e+001	8.239299e-007	8.138200e-007	1.286762e-007
3.630780547700997e+001	8.239082e-007	8.137985e-007	1.286728e-007
3.715352290971708e+001	8.238855e-007	8.137761e-007	1.286693e-007
3.801893963205595e+001	8.238617e-007	8.137526e-007	1.286656e-007
3.890451449942788e+001	8.238368e-007	8.137280e-007	1.286617e-007
3.981071705534954e+001	8.238108e-007	8.137023e-007	1.286576e-007
4.073802778041109e+001	8.237835e-007	8.136753e-007	1.286534e-007
4.168693834703335e+001	8.237549e-007	8.136471e-007	1.286489e-007
4.265795188015907e+001	8.237250e-007	8.136175e-007	1.286442e-007
4.365158322401639e+001	8.236937e-007	8.135866e-007	1.286393e-007
4.466835921509610e+001	8.236609e-007	8.135542e-007	1.286342e-007
4.570881896148729e+001	8.236265e-007	8.135203e-007	1.286289e-007
4.677351412871960e+001	8.235906e-007	8.134848e-007	1.286232e-007
